Kod;Nazwa;Sekcje wg PKD 2007;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;Sekcja J;2023;-;etat;n
0000000;POLSKA;Sekcja K;2023;-;etat;n
0000000;POLSKA;Sekcja L;2023;-;etat;n
0000000;POLSKA;Sekcja M;2023;-;etat;n
0000000;POLSKA;Sekcja N;2023;-;etat;n
0000000;POLSKA;Sekcja O;2023;-;etat;n
0000000;POLSKA;Sekcja P;2023;-;etat;n
0000000;POLSKA;Sekcja Q;2023;-;etat;n
0000000;POLSKA;Sekcja R;2023;-;etat;n
0000000;POLSKA;Sekcja S;2023;-;etat;n
